SISRecID,count,name_com,name_sci,status
22728235,0,Black-fronted Francolin,Pternistis atrifrons,EN
22678869,0,Djibouti Francolin,Pternistis ochropectus,CR
22678744,0,Schlegel's Francolin,Peliperdix schlegelii,LC
22727339,0,Moorland Francolin,Scleroptila psilolaema,NT
22727349,0,Elgon Francolin,Scleroptila elgonensis,NT
22679114,0,Mountain Bamboo-partridge,Bambusicola fytchii,LC
22679163,0,Blyth's Tragopan,Tragopan blythii,VU
45355372,0,Salvadori's Pheasant,Lophura inornata,NT
22727431,0,Bornean Crested Fireback,Lophura ignita,VU
61204155,0,Franklin's Grouse,Falcipennis franklinii,LC
22728472,0,Gunnison Grouse,Centrocercus minimus,EN
22680021,0,Crested Shelduck,Tadorna cristata,CR
62239833,0,Finsch's Duck,Chenonetta finschi,EX
22680329,0,Silver Teal,Spatula versicolor,LC
22728662,0,Mauritius Duck,Anas theodori,EX
22680145,0,Cape Teal,Anas capensis,LC
22735557,0,Andean Teal,Anas andium,LC
22736320,0,Yellow-billed Teal,Anas flavirostris,LC
22696577,0,Atitlan Grebe,Podilymbus gigas,EX
22696533,0,Titicaca Grebe,Rollandia microptera,EN
22696615,0,Colombian Grebe,Podiceps andinus,EX
22690112,0,Madeira Laurel-pigeon,Columba trocaz,LC
22690127,0,Afep Pigeon,Columba unicincta,LC
