genus,lc_count,vu_count
microeca,3,1
microgoura,1,0
microhierax,4,1
microligea,1,0
micromacronus,0,2
micromonacha,1,0
micronisus,1,0
microparra,1,0
micropsitta,5,1
micropternus,1,0
microptilotis,12,0
micropygia,1,0
microrhopias,1,0
microspingus,8,1
microstilbon,1,0
microtarsus,0,1
microxenops,1,0
milvago,1,0
milvus,3,0
mimus,10,4
minla,1,0
mino,3,0
mionectes,7,0
mirafra,19,2
mitrephanes,2,0
mitrospingus,2,0
mitu,1,3
mixornis,4,1
mniotilta,1,0
modulatrix,1,0
moho,4,0
mohoua,2,1
molothrus,5,1
momotus,7,0
monachella,1,1
monarcha,7,0
monasa,4,0
monias,0,1
montecincla,0,4
monticola,12,2
montifringilla,3,0
morococcyx,1,0
morphnarchus,1,0
morphnus,0,1
morus,2,1
motacilla,11,1
moupinia,1,0
mulleripicus,1,3
mundia,1,0
muscicapa,12,2
muscigralla,1,0
muscipipra,1,0
muscisaxicola,14,0
musophaga,2,0
myadestes,9,4
mycerobas,4,0
mycteria,2,2
myiagra,16,6
myiarchus,21,0
myiobius,4,0
myioborus,10,3
myiodynastes,6,0
myiomela,3,0
myiopagis,9,0
myiophobus,8,0
myiopsitta,2,0
myiornis,4,0
myiotheretes,3,1
myiothlypis,17,3
myiotriccus,2,0
myiozetetes,4,0
myophonus,6,3
myornis,1,0
myrmeciza,1,0
myrmecocichla,6,0
myrmelastes,8,0
myrmia,1,0
myrmoborus,3,2
myrmochanes,1,0
myrmoderus,3,2
myrmophylax,1,0
myrmorchilus,1,0
myrmornis,2,0
myrmothera,2,0
myrmotherula,18,6
myrtis,1,0
mystacornis,1,0
myza,2,0
myzomela,32,5
myzornis,1,0
nannococcyx,1,0
nannopsittaca,2,0
nannopterum,2,1
napothera,3,3
nasica,1,0
neafrapus,1,0
necropsar,1,0
necropsittacus,1,0
necrosyrtes,0,1
nectarinia,6,0
nemosia,1,1
neochen,0,1
neochmia,5,0
neocichla,1,0
neocossyphus,2,0
neocrex,1,1
neoctantes,1,0
neodrepanis,1,1
neohierax,0,1
neolalage,1,0
neolestes,1,0
neomixis,4,0
neomorphus,2,2
neopelma,4,1
neophedina,1,0
